"pinyinabb" "chinese" "pinyin" "chinese2" "shp" "dbname" "host" "port" "user" "password"
"ty" "太原" "Taiyuan" "太原市" "Taiyuan" "cityre_taiyuan" NA NA NA NA
"tz" "台州" "Taizhou" "台州市" "Taizhou" "cityre_taizhou" NA NA NA NA
"wanning" "万宁" "Wanning" NA NA "cityre_wanning" NA NA NA NA
"wc" "文昌" "Wenchang" NA NA "cityre_wenchang" NA NA NA NA
"weihai" "威海" "Weihai" "威海市" "Weihai" "cityre_weihai" NA NA NA NA
"wf" "潍坊" "Weifang" "潍坊市" "Weifang" "cityre_weifang" NA NA NA NA
"wh" "武汉" "Wuhan" "武汉市" "Wuhan" "cityre_wuhan" NA NA NA NA
"wjq" "五家渠" "Wujiaqu" NA NA "cityre_wujiaqu" NA NA NA NA
"wl" "乌鲁木齐" "Wulumuqi" "乌鲁木齐市" "脺r眉mqi" "cityre_wulumuqi" NA NA NA NA
"wlcb" "乌兰察布" "Wulanchabu" "乌兰察布市" "Ulaan Chab" "cityre_wulanchabu" NA NA NA NA
"wn" "渭南" "Weinan" "渭南市" "Weinan" "cityre_weinan" NA NA NA NA
"ws" "文山" "Wenshan" "文山壮族苗族自治州" "Wenshan Zhuang and Miao" "cityre_wenshan" NA NA NA NA
"wuhai" "乌海" "Wuhai" "乌海市" "Wuhai" "cityre_wuhai" NA NA NA NA
"wuhu" "芜湖" "Wuhu" "芜湖市" "Wuhu" "cityre_wuhu" NA NA NA NA
"wuzhong" "吴忠" "Wuzhong" "吴忠市" "Wuzhong" "cityre_wuzhong" NA NA NA NA
"wuzhou" "梧州" "Wuzhou" "梧州市" "Wuzhou" "cityre_wuzhou" NA NA NA NA
"ww" "武威" "Wuwei" "武威市" "Wuwei" "cityre_wuwei" NA NA NA NA
"wx" "无锡" "Wuxi" "无锡市" "Wuxi" "cityre_wuxi" NA NA NA NA
"wz" "温州" "Wenzhou" "温州市" "Wenzhou" "cityre_wenzhou" NA NA NA NA
"wzs" "五指山" "Wuzhishan" NA NA "cityre_wuzhishan" NA NA NA NA
"xa" "西安" "Xian" "西安市" "Xi'an" "cityre_xian" NA NA NA NA
"xc" "许昌" "Xuchang" "许昌市" "Xuchang" "cityre_xuchang" NA NA NA NA
"xg" "孝感" "Xiaogan" "孝感市" "Xiaogan" "cityre_xiaogan" NA NA NA NA
"xiangtan" "湘潭" "Xiangtan" "湘潭市|湘潭市" "Xiangtan" "cityre_xiangtan" NA NA NA NA
"xianning" "咸宁" "Xianning" "咸宁市" "Xianning" "cityre_xianning" NA NA NA NA
"xiantao" "仙桃" "Xiantao" "仙桃市" "Xiantao" "cityre_xiantao" NA NA NA NA
"xianyang" "咸阳" "Xianyang" "咸阳市" "Xianyang" "cityre_xianyang" NA NA NA NA
"xingan" "兴安" "Xingan" "兴安盟" "Xing'an" "cityre_xingan" NA NA NA NA
"xinxiang" "新乡" "Xinxiang" "新乡市" "Xinxiang" "cityre_xinxiang" NA NA NA NA
"xinyang" "信阳" "Xinyang" "信阳市" "Xinyang" "cityre_xinyang" NA NA NA NA
"xinyu" "新余" "Xinyu" "新余市" "Xinyu" "cityre_xinyu" NA NA NA NA
"xinzhou" "忻州" "Xinzhou" "忻州市" "Xinzhou" "cityre_xinzhou" NA NA NA NA
"xlgl" "锡林郭勒" "Xilinguole" "锡林郭勒盟" "Xilin Gol" "cityre_xilinguole" NA NA NA NA
"xm" "厦门" "Xiamen" "厦门市" "Xiamen" "cityre_xiamen" NA NA NA NA
"xn" "西宁" "Xining" "西宁市" "Xining" "cityre_xining" NA NA NA NA
"xsbn" "西双版纳" "Xishuangbanna" "西双版纳傣族自治州" "Xishuangbanna Dai" "cityre_xishuangbanna" NA NA NA NA
"xt" "邢台" "Xingtai" "邢台市" "Xingtai" "cityre_xingtai" NA NA NA NA
"xuancheng" "宣城" "Xuancheng" "宣城市" "Xuancheng" "cityre_xuancheng" NA NA NA NA
"xx" "湘西" "Xiangxi" "湘西土家族苗族自治州|湘西土家族苗族自治州" "Xiangxi Tujia and Miao" "cityre_xiangxi" NA NA NA NA
"xy" "襄阳" "Xiangyang" "襄樊" "Xiangfan" "cityre_xiangyang" NA NA NA NA
"xz" "徐州" "Xuzhou" "徐州市" "Xuzhou" "cityre_xuzhou" NA NA NA NA
"ya" "延安" "Yanan" "延安市" "Yan'an" "cityre_yanan" NA NA NA NA
"yaan" "雅安" "Yaan" "雅安市" "Ya'an" "cityre_yaan" NA NA NA NA
"yanbian" "延边" "Yanbian" "延边朝鲜族自治州" "Yanbian Korean" "cityre_yanbian" NA NA NA NA
"yancheng" "盐城" "Yancheng" "盐城市" "Yancheng" "cityre_yancheng" NA NA NA NA
"yb" "宜宾" "Yibin" "宜宾市" "Yibin" "cityre_yibin" NA NA NA NA
"yc" "银川" "Yinchuan" "银川市" "Yinchuan" "cityre_yinchuan" NA NA NA NA
"yf" "云浮" "Yunfu" "云浮市" "Yunfu" "cityre_yunfu" NA NA NA NA
"yichang" "宜昌" "Yichang" "宜昌市" "Yichang" "cityre_yichang" NA NA NA NA
"yichun" "伊春" "Yichun" "伊春市" "Yichun" "cityre_yichun" NA NA NA NA
"yichunjx" "宜春" "Yichun" "宜春市" "Yichun" "cityre_yichunjx" NA NA NA NA
"yili" "伊犁" "Yili" "伊犁哈萨克自治州" "Ili Kazakh" "cityre_yili" NA NA NA NA
"yingtan" "鹰潭" "Yingtan" "鹰潭市" "Yingtan" "cityre_yingtan" NA NA NA NA
"yiyang" "益阳" "Yiyang" "益阳市|益陽市" "Yiyang" "cityre_yiyang" NA NA NA NA
"yj" "阳江" "Yangjiang" "阳江市" "Yangjiang" "cityre_yangjiang" NA NA NA NA
"yk" "营口" "Yingkou" NA NA "cityre_yingkou" NA NA NA NA
"yl" "榆林" "Yulin" "榆林市" "Yulin" "cityre_yulinsx" NA NA NA NA
"yongzhou" "永州" "Yongzhou" "永州市|永州市" "Yongzhou" "cityre_yongzhou" NA NA NA NA
"yq" "阳泉" "Yangquan" "阳泉市" "Yangquan" "cityre_yangquan" NA NA NA NA
"ys" "玉树" "Yushu" "玉树藏族自治州" "Gy锚gu Tibetan" "cityre_yushu" NA NA NA NA
"yt" "烟台" "Yantai" "烟台市" "Yantai" "cityre_yantai" NA NA NA NA
"yulin" "玉林" "Yulin" "玉林市" "Yulin" "cityre_yulin" NA NA NA NA
"yuncheng" "运城" "Yuncheng" "运城县" "Yuncheng" "cityre_yuncheng" NA NA NA NA
"yx" "玉溪" "Yuxi" "玉溪市" "Yuxi" "cityre_yuxi" NA NA NA NA
"yy" "岳阳" "Yueyang" "岳阳市|岳陽市" "Yueyang" "cityre_yueyang" NA NA NA NA
"yz" "扬州" "Yangzhou" "扬州市" "Yangzhou" "cityre_yangzhou" NA NA NA NA
"zaozhuang" "枣庄" "Zaozhuang" "枣庄市" "Zaozhuang" "cityre_zaozhuang" NA NA NA NA
"zb" "淄博" "Zibo" "淄博市" "Zibo" "cityre_zibo" NA NA NA NA
"zg" "自贡" "Zigong" "自贡市" "Zigong" "cityre_zigong" NA NA NA NA
"zh" "珠海" "Zhuhai" "珠海市" "Zhuhai" "cityre_zhuhai" NA NA NA NA
"zhangye" "张掖" "Zhangye" "张掖市" "Zhangye" "cityre_zhangye" NA NA NA NA
"zhangzhou" "漳州" "Zhangzhou" "漳州市" "Zhangzhou" "cityre_zhangzhou" NA NA NA NA
"zhenjiang" "镇江" "Zhenjiang" "镇江市" "Zhenjiang" "cityre_zhenjiang" NA NA NA NA
"zhongshan" "中山" "Zhongshan" "中山市" "Zhongshan" "cityre_zhongshan" NA NA NA NA
"zhuzhou" "株洲" "Zhuzhou" "株洲市|株洲市" "Zhuzhou" "cityre_zhuzhou" NA NA NA NA
"ziyang" "资阳" "Ziyang" "资阳市" "Ziyang" "cityre_ziyang" NA NA NA NA
"zj" "湛江" "Zhanjiang" "湛江市" "Zhanjiang" "cityre_zhanjiang" NA NA NA NA
"zjj" "张家界" "Zhangjiajie" "张家界市|張家界市" "Zhangjiajie" "cityre_zhangjiajie" NA NA NA NA
"zjk" "张家口" "Zhangjiakou" "张家口市" "Zhangjiakou" "cityre_zhangjiakou" NA NA NA NA
"zk" "周口" "Zhoukou" "周口市" "Zhoukou" "cityre_zhoukou" NA NA NA NA
"zmd" "驻马店" "Zhumadian" "驻马店市" "Zhumadian" "cityre_zhumadian" NA NA NA NA
"zq" "肇庆" "Zhaoqing" "肇庆市" "Zhaoqing" "cityre_zhaoqing" NA NA NA NA
"zs" "舟山" "Zhoushan" "舟山市" "Zhoushan" "cityre_zhoushan" NA NA NA NA
"zt" "昭通" "Zhaotong" "昭通市" "Zhaotong" "cityre_zhaotong" NA NA NA NA
"zw" "中卫" "Zhongwei" "中卫市" "Zhongwei" "cityre_zhongwei" NA NA NA NA
"zy" "遵义" "Zunyi" "遵义市" "Zunyi" "cityre_zunyi" NA NA NA NA
"zz" "郑州" "Zhengzhou" "郑州市" "Zhengzhou" "cityre_zhengzhou" NA NA NA NA
